content,date,district,place,problem,sentiment,tweetid
One Covid positive case in our tower. It’s come so close home. It’s scaring the living daylight’s out of me.,2020-07-15,Gurugram,Gurgaon,['Others'],negative,1.28e+18
Now that it is down and India has registered a surplus it is worried whether the Government would take credit for i… https://t.co/J4FbCOwtt3,2020-07-15,Thane,Thane,['Transpotation'],negative,1.28e+18
"ℍ𝕒𝕡𝕡𝕪 𝕎𝕠𝕣𝕝𝕒 𝕐𝕆𝕌𝕋ℍ 𝕊𝕂𝕀𝕃𝕃𝕊 Day👨‍🎓👩‍🎓
. 
. 
. 
. 
. 
#youth #youthwithyou #worldyouthskillsday day #stayhealthy… https://t.co/snRMLAIVnC",2020-07-15,Pune,Pune,null,neutral,1.28e+18
"While entire world is encouraging #WorkFromHome as much as possible, Air India tells its employees that not attendi… https://t.co/DM30ulkoDN",2020-07-15,New Delhi,New Delhi,null,positive,1.28e+18
"@JagdambaShah @himantabiswa Nothing is achieved by the lockdowns, we have been in lockdowns for month, cases are st… https://t.co/z8V4fH7dyH",2020-07-15,Kamrup Metropolitan,Guwahati,null,neutral,1.28e+18
"There so many folks driving around, dangerously!!
What the purpose of #Bengaluru #lockdown
Are the authorities tryi… https://t.co/kw4C6XQj4p",2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
"#KANCHIPURAM DISTRICT #COLLECTOR PONNAIYA TESTED POSITIVE.

HE IS BEEN KEPT TREATED IN HIS RESIDENCE. #India… https://t.co/rMVxDUBMCh",2020-07-15,Chennai,Egmore Nungambakkam,null,positive,1.28e+18
With this nearly $5bn from Google it feels like the entire investable capital in the world during COVID has been pu… https://t.co/yyQbipKphE,2020-07-15,New Delhi,New Delhi,['Others'],negative,1.28e+18
@TheOfficialSBI Due to covid you should reach your customer for services.,2020-07-15,Indore,Indore,null,neutral,1.28e+18
"@AmazonHelp Yes... Infact even the replacement keyboard was suppose to be delivered, but due to lockdown it got stu… https://t.co/M2AzwNyGqn",2020-07-15,Thane,Thane,['Daily Services'],negative,1.28e+18
"@DCPSouthBCP @Tejasvi_Surya @RAshokaBJP @Ravi_LA @DrKNarayanan @sugaradhana If fumigating helped, we shouldn’t have… https://t.co/PDKWsLjx0L",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
One Covid positive case in our tower. It’s come so close home. It’s scaring the living daylight’s out of me.,2020-07-15,Gurugram,Gurgaon,['Others'],negative,1.28e+18
@Saurabh14052448 @VRAFans @onlyonenetra @vivekagnihotri It’s becoz of ICMR changed it’s guidelines in may last week… https://t.co/hYUcICzspO,2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
@SagarsPatra @AbhashPanda14 @bibekmohantyy @HFWOdisha Twice testing not only affect the economic but also it may de… https://t.co/oUB7u8S7SS,2020-07-15,Khordha,Bhubaneshwar,null,neutral,1.28e+18
"@DCPSouthBCP @Tejasvi_Surya @RAshokaBJP @Ravi_LA @DrKNarayanan @sugaradhana If fumigating helped, we shouldn’t have… https://t.co/PDKWsLjx0L",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
"@amazonIN
Order no- 407-3811618-0331549, scheduled delivery date is coming saturday but I am requesting you to plea… https://t.co/JBL3a5Dlc2",2020-07-15,Aurangabad,Obra,['Daily Services'],negative,1.28e+18
@sumanthraman The second surge starts early after the lockdown has been released,2020-07-15,Chennai,Egmore Nungambakkam,null,neutral,1.28e+18
"Go Air has joined the new proposition of ""Buy Your Middle Seat""

But the offer js avialable only for the first two… https://t.co/EvXaBpL8W1",2020-07-15,New Delhi,New Delhi,null,neutral,1.28e+18
@fathaheen @ColumbiaAsiaIn @iaspankajpandey @Comm_dhfwka @DHFWKA @mla_sudhakar @sriramulubjp @CMofKarnataka… https://t.co/h4s8XYUHp3,2020-07-15,Patna,Rajendra Nagar,null,neutral,1.28e+18
"From tomorrow onwards, it's full lockdown in my hometown 🌚",2020-07-15,Kolkata,Kolkata,null,neutral,1.28e+18
"Getting water washed during lockdown! 
#BangaloreRains https://t.co/Wv96DcYDuS",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
"Adopting New Normal 
Today started field work after lockdown with all safety precautions. 
#NewNormal2020… https://t.co/WPdh59RbWj",2020-07-15,West Delhi,Janakpuri,null,positive,1.28e+18
"Adopting New Normal 
Today started field work after lockdown with all safety precautions. 
#NewNormal2020… https://t.co/WPdh59RbWj",2020-07-15,West Delhi,Janakpuri,null,positive,1.28e+18
It's been pretty tough months with intermittent lockdown in this part of the world. We truly appreciate your patien… https://t.co/whSS8WQPTK,2020-07-15,Kamrup Metropolitan,Guwahati,null,positive,1.28e+18
Bangalore is under lockdown again. The little details that make daily life manageable are less uncertain than in th… https://t.co/jep7uU95tO,2020-07-15,Bangalore,Bengaluru,['Others'],negative,1.28e+18
"@Karnataka_DIPR 
Sir, 
What is current guideline for covid positive asymptomatic people who are in home isolation

Thanks",2020-07-15,Bangalore,Bengaluru South,null,positive,1.28e+18
"Ashok Ghige (SWO, CANARA BANK Age 52) of our Kakad Market, Mumbai branch passed away today (15.07.20) due to Covid-… https://t.co/k7IsUPsRo2",2020-07-15,Shahdol,Shahdol,null,neutral,1.28e+18
@onlyonenetra @Goood_Mannn @Saurabh14052448 @VRAFans @vivekagnihotri Well to some extent wearing mask can protect y… https://t.co/xAdwIomwCa,2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
"4496 new COVID-19 cases reported in Tamil Nadu on Wednesday.

68 new deaths. 

Total cases- 1,51,820 
Total deaths-… https://t.co/5Xhc5BXdxF",2020-07-15,Agra,Tamil Nadu,null,neutral,1.28e+18
"Covid update:

1 case tested positive today in goghla area. He is stable and shifted to Govt hospital. 

Total acti… https://t.co/0VIcDQuDYH",2020-07-15,Diu,Diu,null,positive,1.28e+18
#HimeshReshammiya has composed 300 songs in lockdown #Bollywood https://t.co/cwM4DNpGVU,2020-07-15,Chennai,Chennai,null,neutral,1.28e+18
@XiaomiIndia I couldn't have money to get my ❤ Redmi Note 8 (Moonlight White)😔 all because of Covid-19 lockdown.,2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
Everyone deserves to be treated and checked. Hospitals cannot refuse to admit/treat the covid patients across the c… https://t.co/RWXwTYJcdp,2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
"3000+ cases in Karnataka, wasn’t it a lockdown today! Tweet like expert!",2020-07-15,Bangalore,Bengaluru South,null,positive,1.28e+18
What led Bihar to go back into lockdown https://t.co/TnpWz4Y44p  Data shows Patna recorded a 62 per cent spike in c… https://t.co/PdYjc9MNA5,2020-07-15,Ghaziabad,Ghaziabad,null,neutral,1.28e+18
"Dear @dm_ghaziabad @SspGhaziabad Sir(s), Please make sure that during the weekend lockdown, the lawyers residing in… https://t.co/iIKAHzaCxl",2020-07-15,Ghaziabad,Ghaziabad,null,positive,1.28e+18
@TRRaju1 See this: https://t.co/fyxNIwI7DP,2020-07-15,Bangalore,Bengaluru,null,neutral,1.28e+18
Looking at growing cases of Covid 19 Full lockdown for next 15 days may be considered in Jharkhand.,2020-07-15,Jharkhand,Ranchi,['Daily Services'],negative,1.28e+18
@himantabiswa sir plz take action in tinsukia district there is out of control case. I request lockdown. As cases a… https://t.co/qaerhjyzSF,2020-07-15,Tinsukia,Tinsukia,['Others'],negative,1.28e+18
"COVID cases are on a rise in Kerala as the State confirms 623 new #COVID19 cases today.

The total active cases in… https://t.co/KZ1vPrBfOi",2020-07-15,Solan,Himachal Pradesh,null,positive,1.28e+18
"Make this quarantine a turning point in ur life, that's i just mean learn something. Show love and care around you.… https://t.co/Hdys6AGX3d",2020-07-15,Katihar,"Barsoi Railway Station, Barsoi, Bihar",null,positive,1.28e+18
"@RNTata2000 @TataMotors 
I bought your flagship SUV TATA HEXA
4×4 XT in June 2018. Now that you have discontinued t… https://t.co/oJbdawr7KC",2020-07-15,Mysuru,Mysore,['Daily Services'],negative,1.28e+18
"As per rules of lockdown double seat travelling is not allowed Lockdown 

Date 14/07/2020 https://t.co/Yd28rMwiLv",2020-07-15,Thane,Thane Toll Naka,null,neutral,1.28e+18
"Click on this link to watch all the episodes of SWEET N SOUR #streaming on @MXPlayer 

https://t.co/TfnZllrDsL

SHO… https://t.co/PT8UNwjmpO",2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
"First show after lockdown.❣❣😘🙏🙏@peddlersamritsar
@artistaddy https://t.co/RS7hmmvsI4",2020-07-15,Amritsar,Amritsar,null,positive,1.28e+18
"What do you miss from pre Covid era?

Today I was reminiscing the time, when you could make last minute plans to at… https://t.co/s4rfCrPTc4",2020-07-15,Puducherry,Pondicherry,['Daily Services'],negative,1.28e+18
@sumanthraman The second surge starts early after the lockdown has been released,2020-07-15,Chennai,Egmore Nungambakkam,null,neutral,1.28e+18
"@PeteLau SIR,Y IS THE QUALITY OF ONE PLUS 7T SO POOR? PURCHASED ONE PLUS 7T ON https://t.co/xnGfdW3gv5 STARTED HEAT… https://t.co/TPXB74BIPd",2020-07-15,Gautam Buddha Nagar,Noida,['Others'],negative,1.28e+18
"Woman waits 5 hours for ambulance, dies in Bengaluru
Please share this news  for urgent awareness 
#Covid_19
#WATCH… https://t.co/IDJAbyam8D",2020-07-15,Bangalore,Bengaluru,null,positive,1.28e+18
"""Please save us. We are also human beings.""- Dudul Das, a Covid-19 positive prisoner from Guwahati Central Jail.… https://t.co/uWgYtPg8Ek",2020-07-15,Lakhimpur,North Lakhimpur,null,positive,1.28e+18
@mkssharma21 @samratGBasu @Kbarman16 @himantabiswa Only reason I would not go to a COVID ward without precaution is… https://t.co/81LBI8P1iW,2020-07-15,Kamrup Metropolitan,Guwahati,null,neutral,1.28e+18
"HRD minister launches 'world's most affordable' Covid-19 test kit developed by IIT Delhi
https://t.co/oowxXYGt85
So… https://t.co/pif1XW7Kyt",2020-07-15,New Delhi,New Delhi,null,neutral,1.28e+18
"West Bengal’s COVID-19 death toll touches 1,000-mark. New cases again cross 1,500. https://t.co/0jekW7olRA",2020-07-15,Kolkata,Kolkata,['Others'],negative,1.28e+18
Sir Aaaj meri ek relative ko Tata covid centre Noida sector 125 me rakha gaya hai isloation ke liye but wanha ki ha… https://t.co/12lkQZFE64,2020-07-15,Gautam Buddha Nagar,Noida,null,positive,1.28e+18
@MrsGandhi Maharashtra needs Delhi type of solution by centre. Covid situation is really out of control there,2020-07-15,Gurugram,Gurgaon,['Others'],negative,1.28e+18
"All the hospitals around the city and the state, shouldn't refuse to treat/admit covid patients

#BengaluruLockdown… https://t.co/oA4ZbM82nD",2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
@HinaRohtaki Mam what about weekend lockdown status in chandigarh?,2020-07-15,Ward 3,Chandigarh,null,neutral,1.28e+18
@SagarsPatra @AbhashPanda14 @bibekmohantyy @HFWOdisha Twice testing not only affect the economic but also it may de… https://t.co/oUB7u8S7SS,2020-07-15,Khordha,Bhubaneshwar,null,neutral,1.28e+18
"#ExclusiveInterview  With  @drhakkim, We Discuss about #COVID19 #plasmadonation , #lockdown benefits #VaccineUpdate… https://t.co/DkNXqHPNUC",2020-07-15,Nagapattinam,Nagapattinam,['Others'],negative,1.28e+18
"NOTHING IS IMPOSSIBLE.

After one month of drinking Green tea regularly during the Lockdown I have lost ....

... 1 Kg of Green Tea. 🤪",2020-07-15,Mumbai,Mumbai,['Economic'],negative,1.28e+18
Positive for Covid-19 about 3-4 days back and the area near his house was not sealed any action was not taken there… https://t.co/rLXv8fVC6U,2020-07-15,Lucknow,Alambagh Metro Station,null,positive,1.28e+18
@sugaradhana @DCPSouthBCP @Tejasvi_Surya @RAshokaBJP @Ravi_LA @DrKNarayanan Pl appreciate what I am saying. I am al… https://t.co/oVy5LfHQWN,2020-07-15,Bangalore,Bengaluru South,null,positive,1.28e+18
"Covid-19 Bulletin #Nagaland status as on 15th July 2020 at 3:00 PM.
#TogetherWeCan
#NagalandAgainstCovid19… https://t.co/7wHrOWzsjA",2020-07-15,Kohima,Kohima,null,neutral,1.28e+18
"RIL 43rd AGM LIVE: Google to invest Rs 33,737 crore in Jio Platforms https://t.co/avrMFlZjsu",2020-07-15,Chennai,Egmore Nungambakkam,null,neutral,1.28e+18
This lockdown proved that kitna bhi time ho humare pass hm raat ko late se hi soenge aur subah late se uthenge.,2020-07-15,Jharkhand,Ranchi,null,neutral,1.28e+18
"4496 new COVID-19 cases reported in Tamil Nadu on Wednesday.

68 new deaths. 

Total cases- 1,51,820 
Total deaths-… https://t.co/5Xhc5BXdxF",2020-07-15,Agra,Tamil Nadu,null,neutral,1.28e+18
@naim_anwar @BBMPCOMM When the results comes as positive your local health authorities will reach out to you. If th… https://t.co/UxwzwJY3db,2020-07-15,Coimbatore,Bengaluru,null,positive,1.28e+18
@ravi_sec It's too late to expect any positive results from a delayed lockdown ... locking the stable doors after the horses have bolted ...,2020-07-15,Bangalore,Bengaluru,null,positive,1.28e+18
Bangalore is under lockdown again. The little details that make daily life manageable are less uncertain than in th… https://t.co/jep7uU95tO,2020-07-15,Bangalore,Bengaluru,['Others'],negative,1.28e+18
"Please Sir, listen to Our, Our Parent's and Our University's decision. Let us get done with this year. This Covid 1… https://t.co/el4pLRjE3f",2020-07-15,Kolkata,Kolkata,['Others'],negative,1.28e+18
"Today marks exactly 123 days since we played badminton at our court. 

Damn I miss those solid sessions with my par… https://t.co/4x2hFfSR5h",2020-07-15,Chennai,Chennai,['Economic'],negative,1.28e+18
These innocent cows deserve a happy and healthy life amid Corona crisis. Don’t let the lockdown snatch it from them… https://t.co/boWWCQYYAn,2020-07-15,Lucknow,Lucknow,null,positive,1.28e+18
"The UT Administrator stressed that weekly curfew or short period lockdown is still under consideration

@timesofindia",2020-07-15,Ward 3,Chandigarh,['Others'],negative,1.28e+18
"Covid update:

1 case tested positive today in goghla area. He is stable and shifted to Govt hospital. 

Total acti… https://t.co/0VIcDQuDYH",2020-07-15,Diu,Diu,null,positive,1.28e+18
"All the hospitals around the city and the state, shouldn't refuse to treat/admit covid patients

#BengaluruLockdown… https://t.co/oA4ZbM82nD",2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
@naim_anwar @BBMPCOMM When the results comes as positive your local health authorities will reach out to you. If th… https://t.co/UxwzwJY3db,2020-07-15,Coimbatore,Bengaluru,null,positive,1.28e+18
@onlyonenetra @Goood_Mannn @Saurabh14052448 @VRAFans @vivekagnihotri Well to some extent wearing mask can protect y… https://t.co/xAdwIomwCa,2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
"Getting water washed during lockdown! 
#BangaloreRains https://t.co/Wv96DcYDuS",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
It's been pretty tough months with intermittent lockdown in this part of the world. We truly appreciate your patien… https://t.co/whSS8WQPTK,2020-07-15,Kamrup Metropolitan,Guwahati,null,positive,1.28e+18
@reliancejio hello sir we purchased jio wifi dongle in march 2020 but unfortunately battery is not working from few… https://t.co/RsJvj9cvqx,2020-07-15,Jaipur,Jaipur,['Transpotation'],negative,1.28e+18
"Bhai, sadly its the same evrywhr. There’s a limit 2 wat DMs can do now, Since lockdown has been lifted. People roam… https://t.co/LNj4kDuII4",2020-07-15,Khordha,Bhubaneshwar,['Daily Services'],negative,1.28e+18
"@bhhatu @ngpnmc @Tukaram_IndIAS @SandipJoshiNGP I am communicated verbally by NMC that curfew in force, but no one… https://t.co/JowBJJZR9t",2020-07-15,Nagpur,Nagpur,['Others'],negative,1.28e+18
@mkssharma21 @samratGBasu @Kbarman16 @himantabiswa Only reason I would not go to a COVID ward without precaution is… https://t.co/81LBI8P1iW,2020-07-15,Kamrup Metropolitan,Guwahati,null,neutral,1.28e+18
Coolest start-up needs coolest team 🙌🏻 Lockdown can't stop us from delivering our best! Only thing we stop for is S… https://t.co/5HAKtek8hT,2020-07-15,Aurangabad,Aurangabad,null,positive,1.28e+18
"@CMMadhyaPradesh @vdsharmabjp dear sir, it’s request to stop tempura and pls do not think to do lockdown again as i… https://t.co/6BSH0Kzd75",2020-07-15,Bhopal,Bhopal,['Daily Services'],negative,1.28e+18
"@sonalkalra After 4 months of drinking green label this lockdown, I have gained 14 kg. #viaExperience",2020-07-15,Gautam Buddha Nagar,Noida,['Daily Services'],negative,1.28e+18
"@rsprasad @MoHFW_INDIA @PMOIndia @narendramodi @BJP4India Sir , Why don’t we ban Pan masala and other tobacco perma… https://t.co/YsgFuUAq60",2020-07-15,Solan,Himachal Pradesh,['Daily Services'],negative,1.28e+18
@Taazeeemzadraan @AdithyaMarri @HMWSSBOnline @GHMCOnline @TelanganaHealth @KTRTRS @asadowaisi @kishanreddybjp Is th… https://t.co/SHIRejinOm,2020-07-15,Hyderabad,Hyderabad,null,neutral,1.28e+18
"@ConsumerVoiceIn While tobacco is banned to control the spread of #Covid, it is being transported through illegal w… https://t.co/gJbfsxE9L3",2020-07-15,Rajkot,Rajkot,['Transpotation'],negative,1.28e+18
He fed thousands over 3 months till #Covid_19 got him.  #DelhiFightsCorona God help us. https://t.co/debYGZGtiS via @IndianExpress,2020-07-15,Khordha,Bhubaneshwar,null,positive,1.28e+18
"Earlier undertrials used to get heart attacks to avoid going to jail.
Now it's #COVID__19... https://t.co/JVTCY11pgy",2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
"Kiran ji do u agree with kind of nation wide lockdown,without any plang, despite of 2 months time ws in hand of Mod… https://t.co/EDnTpTk7Wo",2020-07-15,Thane,Kalyan Dombivali,null,positive,1.28e+18
"Today marks exactly 123 days since we played badminton at our court. 

Damn I miss those solid sessions with my par… https://t.co/4x2hFfSR5h",2020-07-15,Chennai,Chennai,['Economic'],negative,1.28e+18
@nsitharamanoffc @nitin_gadkari @RBI @YESBANK we are having a msme term loan and dod from your branch but not recei… https://t.co/ZAIKvNsCBf,2020-07-15,Kota,Kota,null,neutral,1.28e+18
@priyankasehgal7 His songs mutated in lockdown phase,2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
@onlyonenetra @Goood_Mannn @Saurabh14052448 @VRAFans @vivekagnihotri Well to some extent wearing mask can protect y… https://t.co/xAdwIomwCa,2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
"My craving for few South Indian dishes during lockdown period has been increasing. 

I suddenly realized that the r… https://t.co/ZEvTpfE9c0",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
#OnlineClasses are very important during the situation of #Covid_19 https://t.co/oiuPZ0fBV6,2020-07-15,Patna,Patna,['Others'],negative,1.28e+18
"Getting water washed during lockdown! 
#BangaloreRains https://t.co/Wv96DcYDuS",2020-07-15,Bangalore,Bengaluru South,null,neutral,1.28e+18
BEd ( in service teachers DM) 2nd - 2017-2018 batch Declaration of Results without annual exams based on Internals… https://t.co/77EzNdRj9e,2020-07-15,Nashik,Malegaon,null,neutral,1.28e+18
@xxxdepy @samratGBasu @Kbarman16 @himantabiswa Copy- paste analysis won't help the Families who lost their loved on… https://t.co/B7UXbBeUBY,2020-07-15,Kamrup Metropolitan,Guwahati,['Economic'],negative,1.28e+18
"@rexrao52 a tweet reporting 3000 +ve cases in Karnataka today ..... is it correct &amp; inspite of lockdown in force there, why such huge spike?",2020-07-15,Hyderabad,Hyderabad,['Transpotation'],negative,1.28e+18
@Taazeeemzadraan @AdithyaMarri @HMWSSBOnline @GHMCOnline @TelanganaHealth @KTRTRS @asadowaisi @kishanreddybjp Is th… https://t.co/SHIRejinOm,2020-07-15,Hyderabad,Hyderabad,null,neutral,1.28e+18
"https://t.co/ksuWSEvo68

Tried covering the beautiful song #AyeKhuda from the movie #Paathshaala

Please check out… https://t.co/9Ez7qPMzh2",2020-07-15,Paschim Bardhaman,Durgapur,null,positive,1.28e+18
"RIL 43rd AGM LIVE: Google to invest Rs 33,737 crore in Jio Platforms

https://t.co/EY5lGScMxT",2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
@news24tvchannel @sandeep_news24 @ndtv mine question is what is important in India almost 10lakh cases first… https://t.co/JSVhTMNbR4,2020-07-15,Daman,Fort Tondiarpet,['Transpotation'],negative,1.28e+18
@Karnataka_DIPR There is no detail of when the asymptomatic person in home isolation can start living normal life a… https://t.co/oBgZdepjec,2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
@dineshgautam1 @intenceroselove Being an Actress m Serving my country as I am a Qualified Nursing Officer. It’s bee… https://t.co/z9bz2979VG,2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
"Being excited and reading newspapers in the bathroom while being fully clothed is my jam . 👾
.
.
.
.
.
.
.
.… https://t.co/jBenuKzhg4",2020-07-15,Mumbai,Mumbai,['Transpotation'],negative,1.28e+18
@MantralayaRoom Only one question arises in mind..if no medicine available till date for Covid-19 then how patient… https://t.co/YQYEJpKfVl,2020-07-15,Thane,Ulhasnagar,['Transpotation'],negative,1.28e+18
"@gandabherunda I guess they won't remove this weeklong lockdown no matter what, however remains to be seen if they… https://t.co/afyMGfiBmT",2020-07-15,Bangalore,Bengaluru,null,neutral,1.28e+18
"I can't 😔

Baby Was Infected With Coronavirus in Womb, Study Reports https://t.co/HecqXHaJZS",2020-07-15,Mumbai,Mumbai,['Food Shortage'],negative,1.28e+18
"@shahdeo_ankit @SushilS83122352 @SaifSiddiquiINC @sambitswaraj Yes, It is, neither we are free from Covid 19 nor ec… https://t.co/Wsy650lQR0",2020-07-15,Gautam Buddha Nagar,Greater Noida,null,neutral,1.28e+18
@BBMPCOMM @CMofKarnataka @BBMP_MAYOR @BlrCityPolice I hope people don't understand the seriousness of lockdown sir,2020-07-15,Dharwad,Dharwad,null,positive,1.28e+18
"First COVID-19 vaccine tested in U.S. shows promising results

No volunteers experienced a serious side effect, but… https://t.co/sXLm0dS9Ag",2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
"@PandaJay
hon'ble  sir good evening.  got appreciation letter for social work during covid 19.   I want  to  meet… https://t.co/xPL2QLcePw",2020-07-15,Puri,Puri,null,positive,1.28e+18
"@ArogyaAndhra 
Name Nagam Ashok
Location guntur rural GMC div29
Phone no 9985333424
We need corina tests in my divi… https://t.co/2j7aJ0gj1E",2020-07-15,Guntur,Guntur,['Transpotation'],negative,1.28e+18
"@myogiadityanat @narendramodi At this situation of COVID-19,we are hardly able to manage our basic needs upon which… https://t.co/n8vSFEdkS1",2020-07-15,Lucknow,Lucknow,null,neutral,1.28e+18
if bengaluru really is the new covid-hotspot; why tf is my internet so bad?,2020-07-15,Bangalore,Bengaluru,['Transpotation'],negative,1.28e+18
"@mybmcWardRS @mybmc
From lockdown 4 these illegal hawkers daily sit here in morning and evening creating tremendous… https://t.co/a0AXe5FlUg",2020-07-15,Mumbai,Kandivali East,['Transpotation'],negative,1.28e+18
"Pretty much like a lot of us at home, @KindnessUnltd  went #bananas  during the #lockdown 
A huge thank you to all… https://t.co/KomYO3Ui94",2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
@dm_ghaziabad @UPGovt @CMOfficeUP @dmgbnagar @DmMeerut @myogiadityanath @manishBJPUP 1st tweet from DM office in 8… https://t.co/M75AiGSfbf,2020-07-15,Ghaziabad,Ghaziabad,null,neutral,1.28e+18
"Essential services / shops selling essentials will remain open, like in the earlier / first lockdown. Some parts of… https://t.co/jjA1xsTVcB",2020-07-15,Jalpaiguri,Jalpaiguri,['Others'],negative,1.28e+18
"AN APPEAL TO @WHO
IVERMECTIN  DESTROYS COVID19 GENES IN 48 HRS INVITRO.
DOCTORS ACROSS LATIN AMERICA &amp; BANGLADESH H… https://t.co/ExaS21MqJP",2020-07-15,Howrah,Haora,['Transpotation'],negative,1.28e+18
#Telangana #Karnataka #AndhraPradesh Must read this prompt Necessary update and precautions to be used to be atleas… https://t.co/mwyJZTrMId,2020-07-15,Varanasi,Varanasi,null,neutral,1.28e+18
@Karnataka_DIPR There is no detail of when the asymptomatic person in home isolation can start living normal life a… https://t.co/oBgZdepjec,2020-07-15,Bangalore,Bengaluru South,['Others'],negative,1.28e+18
"Ashok Ghige (SWO, CANARA BANK Age 52) of our Kakad Market, Mumbai branch passed away today (15.07.20) due to Covid-… https://t.co/k7IsUPsRo2",2020-07-15,Shahdol,Shahdol,null,neutral,1.28e+18
"Covid Positive Patient being shifted from Neelam Apartment, Rajgarh Road to Hospital by District Administration Tea… https://t.co/3VsnbA45F2",2020-07-15,Kamrup Metropolitan,Guwahati,null,positive,1.28e+18
"Thank you so much @SAyurvihar all dr team wheel chair guy Dhanashree mane takeing care of my mom 

thank you to… https://t.co/tebOETP44S",2020-07-15,Mumbai,Mumbai,null,positive,1.28e+18
#Covid19Karnataka #Covid_19 #COVID #Hyderabad #TelanganaFightsCorona Dr Sanjeev Kumar Whatsapp 7995916038 Free Cons… https://t.co/SaH303U9dw,2020-07-15,Bangalore,Bengaluru South,null,positive,1.28e+18
You all know how important it is to check oxygen saturation in a person suffering from COVID-19. For that  Samsung… https://t.co/hpUdXv9N60,2020-07-15,Azamgarh,Nizamabad,['Transpotation'],negative,1.28e+18
"The less you respond to negative people, the more peaceful your life will become.
.
.
.
#july2020 #love… https://t.co/HHfUv6hEb2",2020-07-15,New Delhi,New Delhi,null,positive,1.28e+18
⁦@ccmb_csir⁩ hs asserted tht th current testing capacity of tests 2L/day across th country can be quickly scaled to… https://t.co/nkRDo3gkNH,2020-07-15,New Delhi,New Delhi,null,neutral,1.28e+18
Two days ago I finished my 15 days home quarantine and now there's 10 days lockdown here.😯,2020-07-15,Mumbai,Mumbai,null,neutral,1.28e+18
@PMOIndia @rashtrapatibhvn @narendramodi @anilvijminister @ANI It looks like #governments are looking for excuses f… https://t.co/b3Y6rxen8B,2020-07-15,Gurugram,Gurgaon,['Daily Services'],negative,1.28e+18
"Andhra govt announces Rs 15,000 for final rites of COVID-19 victims https://t.co/vNTa0l7rIX",2020-07-15,Madhubani,India,['Daily Services'],negative,1.28e+18
When our heritage crafts meet technology..on World Skill Day https://t.co/6EfdzCIDUY @PMOIndia @smritiirani… https://t.co/fRkMIl72g2,2020-07-15,New Delhi,New Delhi,null,neutral,1.28e+18
Eminent Indian Botanist dies due to unavailability of Ventilator! He was tested +ve for COVID-19. He dedicated his… https://t.co/PhCc9AuOKC,2020-07-15,Thane,Thane,null,positive,1.28e+18
"@gandabherunda I guess they won't remove this weeklong lockdown no matter what, however remains to be seen if they… https://t.co/afyMGfiBmT",2020-07-15,Bangalore,Bengaluru,null,neutral,1.28e+18
Delhi: He fed thousands over 3 months till Covid got him https://t.co/8HkgwMju7n via @IndianExpress I strongly feel… https://t.co/rA8h28nJKb,2020-07-15,Khordha,Bhubaneshwar,['Food Shortage'],negative,1.28e+18
"Covid update:

1 case tested positive today in goghla area. He is stable and shifted to Govt hospital. 

Total acti… https://t.co/0VIcDQuDYH",2020-07-15,Diu,Diu,null,positive,1.28e+18
@MyFusionHomes @dmgbnagar @SdmDadri @OfficialGNIDA @manishsmooth @abhishek_nefowa @nbhooshan @myogiadityanath… https://t.co/PFhmfi9LDx,2020-07-15,Gautam Buddha Nagar,Greater Noida,null,neutral,1.28e+18
"Lockdown or no lockdown, one company that only seems to be growing is @reliancejio Jio aur Jeene Do! @sayeed2u… https://t.co/ZnQLhp1Qyc",2020-07-15,New Delhi,New Delhi,['Daily Services'],negative,1.28e+18
of COVID and huge population will be involved and infected and will be disastrous. Just go thru the photographs or… https://t.co/oly2apEuGT,2020-07-15,Patna,Patna,['Transpotation'],negative,1.28e+18
"Lockdown or no lockdown, one company that only seems to be growing is @reliancejio Jio aur Jeene Do! @sayeed2u… https://t.co/ZnQLhp1Qyc",2020-07-15,New Delhi,New Delhi,['Daily Services'],negative,1.28e+18
"@Karnataka_DIPR 
Sir, 
What is current guideline for covid positive asymptomatic people who are in home isolation

Thanks",2020-07-15,Bangalore,Bengaluru South,null,positive,1.28e+18
