content,date,district,hour,minutes,place,sentiment,tweetid
"@DrDeepakKrishn1 This is SOP: scapegoat,sac, announce some facility that will not ‘run’, high handed inspections kn… https://t.co/Ti40gdpuPK",2020-07-19,Bangalore,5,10,Bengaluru South,neutral,1284717324931461122
"If we have to save Bihar and ourselves from Covid-19 then today at 2:00 pm, We will have to raise our voice more an… https://t.co/sNmPM1MszS",2020-07-19,Rohtas,5,10,Nokha,positive,1284717159600381953
"Russia become the first country to successfully completed to make #Vaccine 

#VaccineForCorona
#Russia 
#success… https://t.co/9xsiXhYz1y",2020-07-19,Nagaon,5,10,Nagaon,positive,1284717126738046977
"#Today , Nature is also playing 20 20 match with people #Covid 19 outbreak #DS cong",2020-07-19,Dehradun,5,9,Dehradun,negative,1284717094534180864
"@PrasharSdp All safeties at sea, MLC, rights and welfares of seafares failed in practical life due to covid -19 pan… https://t.co/QgJbsRo6ey",2020-07-19,Lucknow,5,9,Lucknow,negative,1284716922731290625
@RahulGandhi Testing are not being done the way it should have been and agree to you that Government of India are h… https://t.co/jHU23kCqSa,2020-07-19,Purbi Singhbhum,5,7,Jamshedpur,negative,1284716594984185856
"I have covid symptoms but can't get swab test anywhere, yesterday I went to civil hospital gurgon sect 10, they ask… https://t.co/iGvpjd1SVX",2020-07-19,Gurugram,5,7,Gurgaon,neutral,1284716555876462592
The Vision of CSIR for combating Covid has been articulated in clear terms which provides a road map for the Team C… https://t.co/10a7PZ35u7,2020-07-19,New Delhi,5,6,New Delhi,positive,1284716240322334727
Future generations will look back this moment to analyse how government's administrative incompetence killed millio… https://t.co/S7Np3vVQRu,2020-07-19,Bangalore,5,5,Bengaluru South,negative,1284715964701872128
"Hppy to take the pledge to fight against COVID19 Stigma &amp; discrimination.

Take your pledge -… https://t.co/2GxsMn3w3V",2020-07-19,Nashik,5,2,Ahmadabad City,negative,1284715147152330752
"India in a nutshell.

#Covid_19 https://t.co/ZREob4b076",2020-07-19,Bangalore,5,0,Bengaluru South,neutral,1284714604929495040
"@singhvarun Lockdown's changing me, broseph",2020-07-19,Mumbai,4,58,Mumbai,neutral,1284714125566767104
"Difference between corona virus and flu

 #corona #covid_19 #covid19 #flu #diffrence #understand #useful … https://t.co/6wgVuovOrT",2020-07-19,Surat,4,57,Surat,negative,1284714069916676101
Cancel all ug and pg exams in telangana. Because Govt doesn't treat any poor and middle class people. Only they wil… https://t.co/pj9b12nl1V,2020-07-19,Medchal–Malkajgiri,4,54,Medchal,negative,1284713302233251841
"@ghosh4all @Monideepa62 How much more time do we need, we had 2 months lockdown to make these preparations, but sti… https://t.co/Qc61PW7LHm",2020-07-19,Kolkata,4,54,Kolkata,neutral,1284713264929050624
"Covid-19 Report of #Odisha For 18th July
New Positive Cases: 736
In Quarantine: 481
Local Contacts: 255
Ganjam: 247… https://t.co/U32tcTozBw",2020-07-19,Khordha,4,53,Bhubaneshwar,positive,1284713028697481216
"Now goat can understand #Englishsong.
Life after #lockdown 😂😂😂 https://t.co/tvGxKrsaU4",2020-07-19,Palwal,4,53,Palwal,positive,1284712942634598400
"Future Generali Health Insurance Covid Cover is affordable &amp; online

Stay Safe! Stay Healthy!

For Details Contact… https://t.co/gcrJNO3a5o",2020-07-19,Mumbai,4,53,Mumbai,positive,1284712914637578241
Cancel all ug and pg exams in telangana. Because Govt doesn't treat any poor and middle class people. Only they wil… https://t.co/S0r0ZerYOu,2020-07-19,Medchal–Malkajgiri,4,52,Medchal,negative,1284712751282167809
"More than mouth and nose, our eyes are exposed membranes which are most susceptible to catch #Covid_19  suspended i… https://t.co/BFyXTRIzwx",2020-07-19,Thane,4,52,Navi Mumbai,negative,1284712684341071873
"Virus was no one's mistake, but covering up the virus was.

CCP officials should be sanctioned worldwide.

Every co… https://t.co/YgOUldyTK7",2020-07-19,Bangalore,4,52,Bengaluru South,neutral,1284712642515369984
"Future Generali Health Insurance Covid Cover is affordable &amp; online

Stay Safe! Stay Healthy!

For Details Contact… https://t.co/q8KiwJTLI1",2020-07-19,Mumbai,4,49,Mumbai,positive,1284712057372368897
#Covid 19 outbreak in India today #NamasteyCrona #DS cong,2020-07-19,Dehradun,4,49,Dehradun,neutral,1284711826190503936
"What a lovely #weather The weather was very cool ,but people were not there, all are in the #house like #Lockdown… https://t.co/vMBXRsMXaD",2020-07-19,Mumbai,4,48,Mumbai,positive,1284711732259299328
"@SapnaSh14501116 I think lockdown might be the one reason of suicide, why? because in this time some people are fac… https://t.co/bU5hqrz6U0",2020-07-19,Rajnandgaon,4,48,Rajnandgaon,negative,1284711622682935296
what is the view of our government about this commnt and views of our scientists.He is saying the truth.Paisa kaman… https://t.co/IKv5yFwc60,2020-07-19,Ahmedabad,4,47,Ahmadabad City,neutral,1284711378947698690
@RURALINDIA @BadmashJimmy @narendramodi It looks as if we would Land up in no mans Land with no respite from Carona… https://t.co/uHjgWTyCp3,2020-07-19,New Delhi,4,46,New Delhi,negative,1284711308747661313
"Dear friends  @Techglares
 @prasanth_ro45 requiring Plasma for Covid treatment please share these From a group of p… https://t.co/GdDktLeIuS",2020-07-19,East Godavari,4,46,Amalapuram,positive,1284711238023344130
"Delhi is thankful to @AmitShah ji, for his intervention and proactive efforts in controlling #Covid_19 in Delhi, as… https://t.co/RCRymPFWxS",2020-07-19,New Delhi,4,45,New Delhi,positive,1284710985421320193
"Governments should think seriously about UBI. 

This pandemic is not going anywhere for next 12 to 24 months.… https://t.co/VZjUDiutS1",2020-07-19,Bangalore,4,45,Bengaluru South,negative,1284710978693722112
@jaymanpandya @onemoreprince Metro cities are mess right now. But i don't trust thyrocare reports for covid.,2020-07-19,Bhandara,4,45,Hingana,negative,1284710879208943617
@himantabiswa Sir for donating plasma is it necessary to be a covid recovered person or a person without covid history can also donate.,2020-07-19,Kamrup Metropolitan,4,44,Guwahati,neutral,1284710807373180928
"@PoliceBangalore @CovidIndiaSeva @COVIDNewsByMIB nobody is following lockdown restrictions in HSR layout sector 2 ,… https://t.co/LLMfx5gUot",2020-07-19,Bangalore,4,44,Bengaluru South,neutral,1284710753614757893
"Despite slowdown due to Covid-19, India's food exports up 27% since March
https://t.co/HtAPj6azfl

via NaMo App https://t.co/hK7HG2TrP7",2020-07-19,Gurugram,4,43,Gurgaon,neutral,1284710333697765376
@HDFC_Bank In times of Covid please make the address proof verification process easier atleast for key account hold… https://t.co/saz3iuC4gS,2020-07-19,Thane,4,42,Kalyan Dombivali,positive,1284710299036090368
"@MumbaiPolice @CPMumbaiPolice Dear sir, one of your colleagues in the department, Rajesh Pednekar, stays in Vasai,… https://t.co/XxeqcKlg6h",2020-07-19,Mumbai,4,42,Mumbai,negative,1284710231583289345
"Despite slowdown due to  Covid-19, India's food exports up 27% since March
https://t.co/Wh0N73fmSy

via NaMo App https://t.co/R8Tc6JHhTe",2020-07-19,Cachar,4,42,Silchar,neutral,1284710198997774336
"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/oTraLcP3Bz

vi… https://t.co/repJ1AfXOU",2020-07-19,Gurugram,4,41,Gurgaon,neutral,1284709935159234560
"#IndiaFightsCorona

Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far… https://t.co/YCTlbwIxNj",2020-07-19,Cachar,4,40,Silchar,neutral,1284709761053646848
"@cricketwallah No one else is available in covid times . About cricket in olympics ,u missed in your podcast the mo… https://t.co/Qds3rNa6vj",2020-07-19,New Delhi,4,39,New Delhi,negative,1284709493633200128
@SrBachchan Covid is a serious issue.  Please do not make a mockery of it.  Covid patients will not be tweeting eve… https://t.co/V4wOpaq2W9,2020-07-19,Bangalore,4,38,Bengaluru South,positive,1284709136282693632
@GHMCOnline covid is spreading in our locality,2020-07-19,Rangareddy,4,36,Hayathnagar,neutral,1284708702725959680
@AIADMKOfficial We are doing a good job with COVID but one area we can improve is market gatherings. Maybe we shoul… https://t.co/TW6ZalFuf3,2020-07-19,Chennai,4,35,Mylapore Tiruvallike,positive,1284708496882069506
"@DSheohar It is only way to control COVID pandemic...

Thank you for all.🙏🙏🙏",2020-07-19,Sheohar,4,34,Sheohar,negative,1284708256015773696
"In the last 1 week 12 july-19 july, india saw around 2 lacs new cases.

#Covid_19",2020-07-19,Bangalore,4,34,Bengaluru South,neutral,1284708217096826882
Raipur lockdown https://t.co/YU242hbClL,2020-07-19,Durg,4,30,Bhilai,neutral,1284707165282824192
"Not all patients ⚰️die with *Covid 19* in 🚑Hospitals. .,
Some of because of thier habbits..!!
😬😷👇 https://t.co/37WA764pnO",2020-07-19,Ludhiana,4,30,Ludhiana,negative,1284707151651328000
"At current rate (cases doubling in every 3 weeks), india will reach to 10 million cases in October.

#Covid_19 #Covid19Karnataka",2020-07-19,Bangalore,4,30,Bengaluru South,neutral,1284707122400264192
Government providing liquidity support amidst COVID-19 https://t.co/DJmZej7bek,2020-07-19,New Delhi,4,29,New Delhi,positive,1284706997309337600
"Importance of social distancing and wearing a mark properly.
#CoronaOutbreak #coronavirus #Covid_19… https://t.co/azHZeK5Ts4",2020-07-19,Pune,4,28,Haveli,negative,1284706714189656064
"Despite slowdown due to Covid-19, India's food exports up 27% since March
https://t.co/eJuLMkJ3jy https://t.co/m9B7qJ15Z9",2020-07-19,Lucknow,4,28,Lucknow,neutral,1284706702206459904
"If a traveller has tested Covid negative from ICMR approved Lab within 48 hours of his/her travel, will s/he be exe… https://t.co/2vJ2yYYipe",2020-07-19,Nagpur,4,28,Nagpur,negative,1284706607964647424
"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/2fPB6mCpx1 https://t.co/YI1XtUVPmT",2020-07-19,Lucknow,4,28,Lucknow,neutral,1284706570077532162
I am happy to take the pledge to fight against COVID19 Stigma &amp; discrimination. I encourage my friends to be part o… https://t.co/eXMlHZxvXE,2020-07-19,Thane,4,26,Navi Mumbai,positive,1284706204665536512
@jslaternyc @sonaliranade 1023 deaths were recorded in Mumbai from Covid in May 2020. Where are you getting your figures from?,2020-07-19,Gurugram,4,21,Gurgaon,neutral,1284704846734475264
Widespread Disbelief About COVID in Nigeria Still a Challenge https://t.co/iSPiAH0j86,2020-07-19,Kolkata,4,19,Kolkata,negative,1284704501442547713
Widespread Disbelief About COVID in Nigeria Still a Challenge https://t.co/iSPiAH0j86,2020-07-19,Kolkata,4,19,Kolkata,negative,1284704473198125057
"Beware of fake N-95 masks 

https://t.co/tALLo5tsNa

#Covid_19",2020-07-19,Bangalore,4,14,Bengaluru South,negative,1284703065078034432
1284858901297393664,"#Cell Phones are not allowed for the Patients. Its a fake video.😸#Watch: Rainwater Gushes Into UP COVID Ward, Admin… https://t.co/3Fh7VGxdvp",Kolkata,Kolkata,2020-07-19,14,33,negative
1284858862449770498,Lockdown to protect people from #Corona or to protect @NitishKumar from people ? #Bihar https://t.co/gsZkc8X3nH,New Delhi,Nalanda,2020-07-19,14,33,positive
1284858820326350848,@ECISVEEP should immediately announce about the deferment of Bihar election. All d election related things must be… https://t.co/U0MHAI0wv9,Bihar Sharif,Nalanda,2020-07-19,14,33,neutral
1284858572996632576,"@SujalSh76501325 @aartic02 @ArvindKejriwal Number of beds in Covid Care centers have increased, that are mostly emp… https://t.co/dhqTIEGOem",Doraha,Ludhiana,2020-07-19,14,32,positive
1284858328804294657,"Government is building a pressure upon . Each and every student 👦📖🎒  ?? 
@VenkatBalmoor 
#BoycottUGCGuidelines… https://t.co/kbeEmvA0Lf",Medchal,Medchal–Malkajgiri,2020-07-19,14,31,negative
1284858129964863488,"Incidence of suicides due to fear of contracting virus, besides social stigma and sense of entrapment during lockdo… https://t.co/Nx9RyFWbgF",Haveli,Pune,2020-07-19,14,30,negative
1284857781191753729,@sanjayips89 Rispected Sir / 20 July se Lockdown Khulega Kya Sir please Answer,Navi Mumbai,Thane,2020-07-19,14,29,negative
1284857700065525761,"@OfficeofUT @uddhavthackeray @AUThackeray Sir My Bike was taken by
 Navi Mum Police,Vashi Sec 03 on 7jul. My Vodafo… https://t.co/zlxzx75Fg7",Navi Mumbai,Thane,2020-07-19,14,28,neutral
1284857617714524160,"@CNNnews18 He is full of criticism, but no suggestions ever to combat COVID-19.",Mumbai,Mumbai,2020-07-19,14,28,negative
1284857537964040192,"@CMCCuttack Good to see, Covid 19 cases at Cuttack are reduced...
🙏",Cuttack,Cuttack,2020-07-19,14,28,positive
1284857503528783874,"@NitishKumar @PMOIndia @drharshvardhan @COVIDNewsByMIB 
Total failure of administration in Bhagalpur (bihar) relati… https://t.co/GgTVOmbuJO",Ghaziabad,Ghaziabad,2020-07-19,14,27,negative
1284857398532796417,@Puri_Official Thank You for blockwise update #Puri_COVID_Update,Puri,Puri,2020-07-19,14,27,negative
1284856583059431424,"Eye Banking and COVID-19 . How to address Eye Donation, Eye Banking , Corneal transplantation in 2020 https://t.co/aZNCmbS07K",Mumbai,Mumbai,2020-07-19,14,24,neutral
1284856261301825537,What’s your Adversity Quotient? Cam across this very useful tool developed by Dr. Stoltz @DrGrit. Check it out! Mea… https://t.co/zDXVGiXNLI,Mumbai,Mumbai,2020-07-19,14,22,negative
1284855849849151489,"No wonder that @AKTU_Lucknow have completely lost their sense in Covid-19
How is this practically feasible for the… https://t.co/aRYmr6e5Ve",Fatehabad,Agra,2020-07-19,14,21,negative
1284855649596129280,@HKempu Enjoying during Covid-19 time,Bengaluru,Bangalore,2020-07-19,14,20,positive
1284855376819523585,"Despite slowdown due to Covid-19, India's food exports up 27% since March
https://t.co/1d77VbmLAi https://t.co/VGZJPSnRfi",Mumbai,Mumbai,2020-07-19,14,19,neutral
1284855245076455425,Let them build temple but what you do to eradicate covid in maharashtra https://t.co/FyoV9H05td,Kanayannur,Ernakulam,2020-07-19,14,18,neutral
1284855238369787917,"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far
https://t.co/JWiUJtC7fc https://t.co/m1rzaKub8z",Mumbai,Mumbai,2020-07-19,14,18,neutral
1284855176742834177,"#TheRelationshipManager-Excellent concept &amp; well executed. @soniiannup&amp; you nailed those performances, dear Divya 💞… https://t.co/WFFSEUFg9t",New Delhi,New Delhi,2020-07-19,14,18,positive
1284855176323428352,Someone has cracked the Covid-19 vaccine. https://t.co/o7tVaVXrTn,Kolkata,Kolkata,2020-07-19,14,18,neutral
1284854914837934086,Corona cases and sensex both are competing every body thinks both will go down but happens opposite !!! #COVID__19… https://t.co/ujTn86c8qM,Mumbai,Mumbai,2020-07-19,14,17,neutral
1284854828284313605,@goonereol @mea_gulpa There’s very little an opposition party in a state like WB can do honestly. With the exceptio… https://t.co/4JNjFtzP5J,Kolkata,Kolkata,2020-07-19,14,17,positive
1284853842496991232,@Alok3161 @himantabiswa A great place to recover from Covid-19 and get some other disease!,Sibsagar,Sivasagar,2020-07-19,14,13,positive
1284853593674153985,"Cloud is a $3–4 bn opportunity in India &amp; Covid is going to expand it more: Karan Bajwa, head of Google Clo...… https://t.co/g25itelvUe",Gurgaon,Gurugram,2020-07-19,14,12,positive
1284853090353418240,"@mangalpandeybjp Other states have Proper SOP to deal with COVID 19 patient , But in Bihar  situation is that patie… https://t.co/KXl6AlaAhj",Hajipur Vaishali,Vaishali,2020-07-19,14,10,neutral
1284852630930386944,@KiranKS Hahaa .seems u learned cooking during lockdown,Chengalpattu,Chengalpattu,2020-07-19,14,8,neutral
1284852534440386560,"@ANI Three districts of Bihar Gopalganj, Siwan &amp;Saran have been attached to PMCH,Patna for treatment of referred Co… https://t.co/0m9y7SOtL6",Mirganj,Gopalganj,2020-07-19,14,8,neutral
1284852386914201600,@sanghaviharsh @narendramodi @AmitShah Very Very Good Idea To Entertain Covid Patients.. Salute To Harsh Shanghai j… https://t.co/OasiIWuuKI,Surat,Surat,2020-07-19,14,7,positive
1284852210996633602,Restricted Functioning Of Courts Forcing Advocates To Find Work Outside Legal Profession https://t.co/OON7xurRNe,Sholinganallur,Sholinganallur,2020-07-19,14,6,negative
1284851716601425920,State-wide containment zone-based lockdown continues till 31 July. #westbengal,Haora,Howrah,2020-07-19,14,4,neutral
1284851573135269888,Ms allowing to discharge  from this hospital  and other hospital are not admitting patient due to Covid 19. Plz hel… https://t.co/veGyRkDcBi,Patna,Patna,2020-07-19,14,4,negative
1284851409477746691,"Was gearing up to go to office from tomorrow. 

Boom! 

Strict lockdown extended for at least till next week.",Haveli,Pune,2020-07-19,14,3,neutral
1284851217663881218,"@KapilMishra_IND @missionkaali India is a secular country. Any citizen of india can believe in any religion. 

Why… https://t.co/gV2CN0C81q",New Delhi,New Delhi,2020-07-19,14,2,neutral
1284851042434404352,"@ChiefSecyUP sir 392 cases in Lko in 1 day. Imagine hw much must be undetected. Is it community spread. 
More peopl… https://t.co/BB59llkju4",Lucknow,Lucknow,2020-07-19,14,2,neutral
1284850975329542145,"@sharmamatvipin They didn't control the virus. 
Instead, they controlled the news. 
Much easier option. 

Our Govt… https://t.co/WVETPrcLRi",New Delhi,New Delhi,2020-07-19,14,1,positive
1284850974339653636,"East Godavari COVID 19 Update 19th July 2020
#coronavirus #Corona #CoronaWarriors #CoronaVirusUpdates #COVIDー19… https://t.co/I7pkBnV6mJ",Kakinada,East Godavari,2020-07-19,14,1,neutral
1284850945017315329,"While the world is emptying prisons due to Covid scare, Modi keeps on attacking dissent, arresting students and ris… https://t.co/g67HoTCWJK",Darbhanga,Darbhanga,2020-07-19,14,1,negative
1284850697104572417,@KrSanjayKrishna Sir strict adherance to point no. XV &amp; XXVI shall be the first concrete step 2 break the chain of… https://t.co/47AE3kLjel,Guwahati,Kamrup Metropolitan,2020-07-19,14,0,negative
1284850608202149888,@Kaalateetham dr pls guide. My friend had fever 101.9 next day after taking some antibiotic. Now temp is 98.6 after… https://t.co/1IT6qqclXO,Bengaluru South,Bangalore,2020-07-19,14,0,positive
1284850406414311426,"Looking To Current senerio For #COVID19 Prime Minister Of India @narendramodi Should Do Complete Lockdown India.
Ot… https://t.co/KXNPad5pTZ",Gondal,Rajkot,2020-07-19,13,59,neutral
1284850219822145543,"📌 Discharge Alert~Glad to share that till today the 19th of July 2020, 2️⃣3️⃣8️⃣more patients were discharged from… https://t.co/bLf1xVxvDa",Diphu,East Karbi Anglong,2020-07-19,13,58,negative
1284849794272264192,"I am urging to our Home minister @AmitShah that the way you helped Delhi to overcome from Covid cases, please help… https://t.co/n8lEtnPfqL",Katihar,Katihar,2020-07-19,13,57,positive
1284849691302129664,@ANI This is a time where  we need to think about people of our country not about the buildings which is not needed… https://t.co/WRg22E3Fq1,Bhopal,Bhopal,2020-07-19,13,56,neutral
1284849299986149376,"Following advisory has been sent by GOWB - to DMs, DGP, CP Kol etc 2day evening: 
 DMs may take a view on continuin… https://t.co/BucVgeuH3D",Haora,Howrah,2020-07-19,13,55,neutral
1284849143173664769,Government providing liquidity support amidst COVID-19 https://t.co/vgfdQiqj3n,Bengaluru,Bangalore,2020-07-19,13,54,positive
1284849068188020738,"Kiara’s Personalised Covid Kit / Peppa Pig &amp; Owlette Face Mask &amp; Gloves 

Kiara’s Msg - Wear Face Mask &amp; keep yours… https://t.co/Qw7PUjaFXC",Mumbai,Mumbai,2020-07-19,13,54,neutral
1284849010910490624,"What a outstanding interview of the #Covid_19 by G.Sampath, @the_hindu. Very interesting and full of irony. Plz rea… https://t.co/Kq7l9CFMaN",Gaya Junction Train Station,Gaya,2020-07-19,13,54,positive
1284848823882268673,@DarshanNPopat @NMMCCommr @abhijitbangar @sanjayips89 @Navimumpolice Respected sir  Till what date is lockdown now?,Panvel,Raigad,2020-07-19,13,53,positive
1284848753942294528,We were extremely fortunate to get a sighting of a male tiger enjoying the mud at Ranthambore. Courtesy Covid 19 re… https://t.co/6YAJT2opWY,Sawai Madhopur,Lahul and Spiti,2020-07-19,13,53,positive
1284848670047735814,@narendramodi sir in Karnataka news channels they are telling no beds for covid patients and government is not doin… https://t.co/xf4WmnuvWs,Mysore,Mysuru,2020-07-19,13,52,negative
1284848563155898373,Reckless attitude of CMs of AP 😔😔😔😔 and Telangana made increase in coronavirus cases. Today in AP 5016 +ve cases an… https://t.co/cya2NkUse4,Perambur Purasavakam,Chennai,2020-07-19,13,52,negative
1284848212667326467,"@rparthiepan corona Sunday than varum, Saturday lam leave up-to Lockdown 31st July 😀😀😀",Mylapore Tiruvallike,Chennai,2020-07-19,13,50,positive
1284848170728476672,What kind of helpline number it's they does not give a suggestion or a better point to the consumer we pay our all… https://t.co/cjdSBSMlQn,Panvel,Raigad,2020-07-19,13,50,positive
1284848083780595712,@MSEDCL What kind of helpline number it's they does not give a suggestion or a better point to the consumer we pay… https://t.co/ng4jUi6i7Y,Kalamboli / कळंबोली,Raigad,2020-07-19,13,50,positive
1284847764522676225,"@idharmahere @_shiblee Thanks. 

Situation is very grim in Bihar. It was already bad before Corona, now it’s even m… https://t.co/LUtZCpe0DP",Bengaluru South,Bangalore,2020-07-19,13,49,negative
1284847667819028481,The stories of sufferings are circulating around. Bihar is in very big crisis. Data is under-reported as many hospi… https://t.co/vUqIbJvIY7,Danapur,Patna,2020-07-19,13,48,negative
1284847619764703234,@narendramodi sir some tv channels are showing in India covid 19  community spread is started is it true..???,Mysore,Mysuru,2020-07-19,13,48,positive
1284847426646376448,@ShishirGoUP @myogiadityanath @CMOfficeUP @UPGovt Really great An important meeting was needed regarding preparedne… https://t.co/7EHObhPR8T,Lucknow,Lucknow,2020-07-19,13,47,positive
1284847296623136774,@darbhanga_dm @NitishKumar @ZeeNews @News18Bihar Pigs just beside DMCH Covid ward ... Disgusting https://t.co/eZK6V8BV4k,Darbhanga,Darbhanga,2020-07-19,13,47,negative
1284846874126544896,"India promises to ""deliver #COVIDー19 vaccine by August this year"". Well, it's not going to be that #Easy.⚕️
Watch t… https://t.co/0fGNJKa9u1",Bengaluru,Bangalore,2020-07-19,13,45,positive
1284846819285987328,"No Mask. No Helmet. 
Youth flouting both Traffic Rules and Covid Safety Measures is a common scene in Hyderabad the… https://t.co/MCc9eyM2cl",Kukatpally,Medchal–Malkajgiri,2020-07-19,13,45,negative
1284846438015328257,"New generation kids After lockdown be like😌

#PUBGMOBILE #PUBG #kids #lockdownindia #lockdown2020 #pubgmemes #vines… https://t.co/VHUmLNDPcN",Kalyan Dombivali,Thane,2020-07-19,13,43,positive
1284846285564940288,"""Boris Johnson compares a second lockdown to a 'nuclear deterrent'""  https://t.co/fseS2V7svj",Nagaon,Nagaon,2020-07-19,13,43,neutral
1284846193625796608,The lockdown hasnt been able to flatten #COVID19 curve. But the govt has attempted to flatten the backs of its crit… https://t.co/pRinVlRo1a,Darbhanga,Darbhanga,2020-07-19,13,42,negative
1284846130719715329,"""Hong Kong announces new measures as 100+ new COVID-19 cases recorded in one day""  https://t.co/jzDyiuX1fC",Nagaon,Nagaon,2020-07-19,13,42,neutral
1284846106774396929,"UGCGuidelines challenged in the Supreme Court by 31 students, including one COVID-19 patient. @anubha1812 #ExamsInCovidASuicide",Amreli,Somnath,2020-07-19,13,42,positive
1284845188255342594,"#VoicesAgainstCovidStigma.

Take your pledge - https://t.co/dr80yND18w

@ElixirIndiaOrg @UNICEFIndia @usaid_india https://t.co/5Ubh17JpSO",Palia Kalan,Kheri,2020-07-19,13,38,neutral
1284845175378829313,"Lockdown krne se kya fayeda fir? 
Direct bol do @NitishKumar  ko aake bole, I'm not able to control these mass spre… https://t.co/MdOqW2blDy",Khagaria,Khagaria,2020-07-19,13,38,neutral
1284844032594546688,This is how Doonites celebrate Lockdown 🤣 @tsrawatbjp @DehradunSsp https://t.co/kCFtdChFzw,"Dehradun, India",Dehradun,2020-07-19,13,34,positive
1284843983240261634,"Prevention for Corona virus kit of medicines available. 
Siloam Siddha and Varma Clinic, 
Tirunelveli. If you need… https://t.co/s5OQMEwTGx",Palayankottai,Tirunelveli Kattabo,2020-07-19,13,34,neutral
1284843847701245952,"While the world is emptying prisons due to Covid scare, Modi keeps on attacking dissent, arresting students and ris… https://t.co/ftTRngjlKh",Patna,Patna,2020-07-19,13,33,negative
1284843628871872512,"Blood test detects positive COVID-19 result in 20 minutes

#Covid_19
#CovidTesting

https://t.co/G1jqLYOmpu",Noida,Gautam Buddha Nagar,2020-07-19,13,32,positive
1284843295051403264,"Covid-19 recovery rate inches close to 63%, More than 6, 53,000 people recovered so far https://t.co/jdntoaBFlN",Hayathnagar,Rangareddy,2020-07-19,13,31,neutral
1284842736567193602,"@sureshpprabhu @PMOIndia @narendramodi Everyone is scared of COVID, especially those who can't afford private hospi… https://t.co/esBIarMHcw",Rajendra Nagar,Patna,2020-07-19,13,29,negative
1284842650642915328,"What do I see every day during Covid19?  

INDIA a land where  extremes walk hand in hand... 
fear and courage - lo… https://t.co/5YjBQKZfdt",Gurgaon,Gurugram,2020-07-19,13,28,positive
1284842611543609345,Highlights of the Covid Centre started in Hinjewadi by BJP Maharashtra President and MLA #ChandrakantPatil… https://t.co/fZJjCIURZa,Haveli,Pune,2020-07-19,13,28,neutral
1284842603817525248,"While the world is emptying prisons due to Covid scare, Modi keeps on attacking dissent, arresting students and ris… https://t.co/zFW8D5aTFu",Darbhanga,Darbhanga,2020-07-19,13,28,negative
1284842383536877568,"@APDKolhapur @aairedwr @AAI_Official @KolhapurAU A few of them I captured while my journey from KLH to BLR , thanks… https://t.co/erqSqKF1H1",Bengaluru South,Bangalore,2020-07-19,13,27,positive
1284842308802801664,#Covid #Lockdown - Dont blame Modi Govt or state Govts.  Blame the Chinese. #BlameChina,Bengaluru,Bangalore,2020-07-19,13,27,negative
1284842119442522115,A robotic lady in a saree shop dispensing a hand sanitizer #jugaad #thatsafirst #COVID__19 https://t.co/rdBTFYSku0,Mumbai,Mumbai,2020-07-19,13,26,positive
1284841892471947265,"Aluva looks unusually deserted even as Vavubali is just one day away owing to Covid spread. Now a containment zone,… https://t.co/y3OzOGTVSG",Kanayannur,Ernakulam,2020-07-19,13,25,neutral
1284841838227025921,"Akhil Gogoi and Telgu poet varavara rao tests positive for covid, which shows the high risk of coronavirus in jails… https://t.co/6A2rXzsPIY",Bihar Sharif,Nalanda,2020-07-19,13,25,negative
1284841464640372739,With rising number of cases of approx 5000 covid cases per day... It's so sick to conduct exams amidst such a cruci… https://t.co/M77eJBY72q,Bengaluru,Bangalore,2020-07-19,13,24,negative
1284841423804792832,"The University of Delhi registration  was to close on 18th July, however now it will be extended till 31st July 202… https://t.co/fbfd4gAxJF",New Delhi,New Delhi,2020-07-19,13,24,neutral
1284841405718818817,Agreed Mr. #Harshad_Vania #SrDPO_BVP you are comfortable with a retired #cold_blooded #criminal standing besides yo… https://t.co/IJl97Sv3uD,Bhavnagar,Bhavnagar,2020-07-19,13,23,negative
1284841400828260352,"#ChandigarhUpdate 

With 26 fresh cases, city's Covid19 figure crosses 700 mark; Total count is now 717

Three pati… https://t.co/0ebyWS0EKD",Chandigarh,Ward 3,2020-07-19,13,23,negative
1284841388245319687,"https://t.co/IOp4hV5gn3
Covid-19: AIIMS to start human clinical trial of Covaxin from Monday
#COVAXINVaccine… https://t.co/qCS4G50az3",Mumbai,Mumbai,2020-07-19,13,23,neutral
1284841381182111745,@CMOfficeUP @myogiadityanath Sir this is to inform you that corona is spreading in Varanasi vigorously in this situ… https://t.co/tGVfr1qrCu,Varanasi,Varanasi,2020-07-19,13,23,negative
1284840961529442305,"Mass Email Campaign to President and PMO!
No Exams During Pandemic!

MHRD must cancel all exams during Covid crisis… https://t.co/uJZh4PHvwm",Darbhanga,Darbhanga,2020-07-19,13,22,negative
1284840759670091776,Nice way to rope in #AmitabhBachhan as a brand ambassador for #COVID https://t.co/AJvkGTHyKo,Bengaluru South,Bangalore,2020-07-19,13,21,positive
1284840065127133184,@darbhanga_dm @NitishKumar @PMOIndia @ZeeNews @News18India @News18Bihar one of my friend's brother died of Covid at… https://t.co/ysTpFSg6oN,Darbhanga,Darbhanga,2020-07-19,13,18,negative
