tweetid,content,place,district,date,problem,sentiment
1.28e+18,"@john_vidal When Covid 19 is a talking point in newspapers, tv and amongst people literally every moment, what can… https://t.co/E8Ph4sNME8",Madras Club,Chennai ,2020-06-29,,neutral
1.28e+18,"Our experience with the first lockdown wedding!

Yes, we got a chance to finally shoot our first wedding during thi… https://t.co/bZMLBE9EXF",Fort Tondiarpet,Daman,2020-06-29,,positive
1.28e+18,"Partial #lockdown Day 39 (Sun, 28 #June2020)

#foodpic! I attempted Apple Cinnamon #icecream. D taste was good. Mor… https://t.co/WDT1meI73r",Noida,Gautam Buddha Nagar,2020-06-29,,positive
1.28e+18,@UnofficialMahua @dhruv_rathee You are the most stupid MP in this country. You know well that this is to fight Covi… https://t.co/9PPBBxcisS,Ludhiana,Ludhiana,2020-06-29,['Others'],negative
1.28e+18,“Work From Home” couldn’t take it anymore 😝 Pun intended. #article370  #covid https://t.co/CWzhjq9PhQ,Mumbai,Mumbai ,2020-06-29,['Daily Services'],negative
1.28e+18,@DrRahulGhule11  Ji Vivekananda Youth Connect Foundation feels honoured to present this certificate of appreciation… https://t.co/DjmOzfiFsB,Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,"10 cases Continuously for 2 days...

Very dangerous sign for #Amreli #Covid_19 

@SidDholakia https://t.co/HR3ik0ctNE",Amreli,Somnath ,2020-06-29,['Daily Services'],negative
1.28e+18,Modi says Unlock ! State says Lockdown!,Guwahati,Kamrup Metropolitan,2020-06-29,['Others'],negative
1.28e+18,Why  Donald Trump does not wear a mask ? He believes that chloroquine tablets have already  made his body immune to… https://t.co/N2nGiadfPU,Kolkata,Kolkata,2020-06-29,['Economic'],negative
1.28e+18,"Govt - Pls help people ... 
Need drastic supports from you ...

Need lockdown... 

“Not Able To Breathe"": Hyderabad… https://t.co/psFPXXOFSm",Kolkata,Kolkata,2020-06-29,['Economic'],negative
1.28e+18,"@IShrfu @MimrotReena Coronavirus | FIR against Baba Ramdev, others on COVID-19 cure claim  https://t.co/j7DFOlQ8uS",Nadiad,Kheda ,2020-06-29,,neutral
1.28e+18,"@PotholeWarriors @RanaAyyub It is China or are they made in India by HP?
https://t.co/D3yb8xiXTI",Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,Coronavirus | Police have registered a First Information Report against yoga guru Ramdev and four others for allege… https://t.co/6smUNdmDDw,Nadiad,Kheda ,2020-06-29,,neutral
1.28e+18,I am sorry to say but #ICAI is playing with the lives of students that's it. No matter ICAI kitni bhi precautions l… https://t.co/PGO3ahWKuN,Bhiwandi,Thane,2020-06-29,['Others'],negative
1.28e+18,Lockdown. How my folks are talking Monday’s. I generally start my work day with a blue temper. coz the first hour y… https://t.co/miYSmbqe1Q,New Delhi,New Delhi,2020-06-29,['Transpotation'],negative
1.28e+18,Delhi government to build-up plasma bank to tackle the COVID-19 patients: CM @ArvindKejriwal,New Delhi,Vasant Vihar Tehsil,2020-06-29,,neutral
1.28e+18,"India's COVID-19 recovery rate over 58%: Health Minister Harsh Vardhan
https://t.co/3yOEKsWVsn via NaMo App https://t.co/aa2migIIbj",Azamgarh,Azamgarh,2020-06-29,,neutral
1.28e+18,"@RailMinIndia @PiyushGoyal @PMOIndia @gmner_gkp 

My mother is travelling in Train No. 04674 Shaheed Covid 19 speci… https://t.co/MEopu7bry1",Balrampur,Balrampur,2020-06-29,,neutral
1.28e+18,"The kalij pheasant (Lophura leucomelanos)
This guy keep us busy in all days no Matter it's lockdown or not 😂… https://t.co/QZeN0Ynbqe",Naini Tal,Prayagraj,2020-06-29,,positive
1.28e+18,India unlocking key sectors that remained in lockdown for decades: PM Modi in 'Mann ki Baat'… https://t.co/IOsnovHQRl,Azamgarh,Azamgarh,2020-06-29,,neutral
1.28e+18,"Recovered Covid-19 patients exceed active cases by over 1 lakh: Health Ministry
https://t.co/jgWdZlE2SS via NaMo App https://t.co/bq9Clh6l2s",Azamgarh,Azamgarh,2020-06-29,,neutral
1.28e+18,"Covid 19 positive in Supreme 19. 3rd cross lane, Lokhandwla Market. #SpreadTheWord #COVID19 for our safety and yours. @Lokhandwala_Bom",Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,Terrorist attack in pakistan now @ABPNews @aajtak @ZeeNews @indiatvnews  @ndtv almost all hindi news channels will… https://t.co/rxyIVwTXk5,Greater Noida,Gautam Buddha Nagar,2020-06-29,['Transpotation'],negative
1.28e+18,"Thank you @whdorguk 
FOOD BANK-India is Happy &amp; Proud to receive the “World Humanitarian Award” under Social Welfar… https://t.co/ugHQtRxQe5",Chennai,Chennai ,2020-06-29,,positive
1.28e+18,"@drshamamohd Mam u covid expert give advice to Maharshtra And tamilandu 
Maharshtra ur state Goverment 
Tamilandu non bjp",Navsari,Sari ,2020-06-29,,positive
1.28e+18,"@mla_sudhakar Sir, Covid  cases are raising alramingly in Bangalore. It is in a very dangerous stage. Kindly releas… https://t.co/1BW0jDFp0A",Bengaluru,Bangalore ,2020-06-29,['Food Shortage'],negative
1.28e+18,@RubikaLiyaquat  for the TRP you are making the fun of India this is not the work of a reporter you have many other… https://t.co/Ma6TCbsLwW,Gwalior,Gwalior,2020-06-29,,positive
1.28e+18,Traffic bottlenecks at few big roads in Mumbai. But doesn't look like it's because of excess traffic. It's because… https://t.co/uoIbRidFQs,Navi Mumbai,Thane,2020-06-29,['Daily Services'],negative
1.28e+18,#Telangana Home Minister #MohammedAli  tested Positive for #Covid_19 https://t.co/uEz9spSQbK,Nandyal,Kurnool,2020-06-29,,neutral
1.28e+18,"#Emergency #Covid_19
*Plasma Required*
Patient: Suloachna Oberoi
Blood Group: O+ve
Hospital: Sir Gangaram Hospital… https://t.co/FifDGg8Jnv",Sir Gangaram Hospital | सर गंगाराम अस्पताल,Anantapur,2020-06-29,,neutral
1.28e+18,"In IMUN Online Conference 12.0, we delve deep into the role of media in manipulating elections as well as topics li… https://t.co/JqF7YFWBL3",Haveli,Pune ,2020-06-29,,neutral
1.28e+18,"MVA protesting against the centre on fuel prices, BJP protesting against the state on Covid &amp; electricity bill pric… https://t.co/eJnUU8K8kJ",Pune,Pune ,2020-06-29,['Others'],negative
1.28e+18,@MumbaiPolice Those not following rules should be penalize good then why mumbai police doesn't apply this rule in c… https://t.co/0GsUlTe5Yq,Mumbai,Mumbai ,2020-06-29,['Transpotation'],negative
1.28e+18,"I was wondering has lockdown  made our institutions more efficient ,from 22nd March to 3 June the entire state of D… https://t.co/ZdUOm2F1lm",New Delhi,New Delhi,2020-06-29,,positive
1.28e+18,"My friend's grandpa was home since 2 months.. but tested covid positive yesterday..
Yeh kaise hota hai aakhir....",Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,"This week, Cock &amp; Bull goes back to its roots, with @BoredBroacha being joined only by @DoshiAmit where the both of… https://t.co/MhD45h44ts",Indus Vox Media,Bankura,2020-06-29,['Others'],negative
1.28e+18,#Madras High court directs #TANGEDCO to explain its methodology in a detailed manner by July 6 that was used while… https://t.co/hVhJvEgMpc,Sholinganallur,Sholinganallur,2020-06-29,,neutral
1.28e+18,@RajeshMahindra7 @OfficeofUT @uddhavthackeray @CMOMaharashtra @Awhadspeaks Due to corona it's very important that g… https://t.co/HRtTf1n2T3,Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,"Another success story from India fighting covid.
Mumbai, Dharavi: @ndtv @ndtvvideos https://t.co/Ry4EB9LRCN
Kudos t… https://t.co/Z0vgYHYkYo",Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,@shufta20 @SalmanNizami_ My Depression is bcz of 24 hrs shouting by my mother n worst in Lockdown so I take a Table… https://t.co/g8lBIy8RiV,Navi Mumbai,Thane,2020-06-29,['Economic'],negative
1.28e+18,@taapsee @Adani_Elec_Mum Adani ji I want to know what type of weed your employees are using it seems they are doing… https://t.co/wzv23B46e8,Lucknow,Lucknow,2020-06-29,['Daily Services'],negative
1.28e+18,"Recovered Covid-19 patients exceed active cases by over 1 lakh: Health Ministry
https://t.co/sl2LMvAt0N
#COVID19… https://t.co/v5LIMtYg5m",Jorhat,Jorhat,2020-06-29,,neutral
1.28e+18,2/3 What the constantly changing norms indicate is an utter state of confusion in governance.  This when #covid vir… https://t.co/p4uJp6sr3u,Bengaluru South,Bangalore ,2020-06-29,['Others'],negative
1.28e+18,An ardent admirer of Former Union Minister Hon’ble Shri Suresh Prabhu showers praises on the MP's  thought-provokin… https://t.co/RYTfoNXmjH,Kolkata,Kolkata,2020-06-29,,neutral
1.28e+18,"When lockdown was imposed, @CMofKarnataka @BSYBJP @drashwathcn @DHFWKA @csogok @iaspankajpandey const a Cmt headed… https://t.co/ckPnXSMe0p",Bengaluru South,Bangalore ,2020-06-29,,neutral
1.28e+18,"@mrigankabjp

India unlocking key sectors that remained in lockdown for decades: PM Modi in 'Mann ki Baat'… https://t.co/j7x4dP1Ktd",Jorhat,Jorhat,2020-06-29,,neutral
1.28e+18,What the hell is going on in our country #inda who the hell is responsible for this @narendramodi @PMOIndia After l… https://t.co/oEg1Lbn8ye,Hyderabad,Hyderabad,2020-06-29,['Others'],negative
1.28e+18,"@himantabiswa sir is the milk supply is banned in this lockdown.. If yes, than how could any survive without milk.",Guwahati,Kamrup Metropolitan,2020-06-29,['Transpotation'],negative
1.28e+18,"📌 FOLLOW @foodprowl for your daily dose of deliciousness.
.
.
Good News Dhaba, Koregaon Park (Due to lockdown the d… https://t.co/j167bAoHGK",Pune,Pune ,2020-06-29,,positive
1.28e+18,"Dr Prabhakar,
Final year PG resident, Anaesthesia
ASRAM Medical College, Eluru, Andhra Pradesh
Found dead in hostel… https://t.co/3ZirIDJwKe",Patna,Patna,2020-06-29,['Others'],negative
1.28e+18,@roadscholarz @JagdeepChhokar @irvpaswan @nsitharaman @PMOIndia is confusing pandemic #COVID19 with CYCLONE/FLOOD/E… https://t.co/vbcD8Devri,Lucknow,Lucknow,2020-06-29,['Food Shortage'],negative
1.28e+18,"@BDUTT Acha Tour kar le aap is lockdown me ,
Jo har kiski baas mei nahi..

Keep the spirit up",Ranebennur,Haveri ,2020-06-29,,positive
1.28e+18,"@Ganjam_Admin Ganjam Covid-96.
Very alarming. 
Shut down may  be extended to entire Ganjam Diistrict further.
Allow… https://t.co/1RuiyKGHjp",Brahmapur,Ganjam,2020-06-29,['Daily Services'],negative
1.28e+18,"At a time we were same, but 
we fight better and bring down active cases and fatal rate compare to others like Rajs… https://t.co/EoACi4Flqv",Patna City Outer,Patna,2020-06-29,['Others'],negative
1.28e+18,Bangladesh Defence Secretary Abdullah Al Mohsin Chowdhury dies of #Covid https://t.co/trBfHJ4g8n,New Delhi,New Delhi,2020-06-29,,neutral
1.28e+18,"Recovered Covid-19 patients exceed active cases by over 1 lakh: Health Ministry
https://t.co/b9ii3y4ik1 https://t.co/pu9jnprtpS",Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,"@HDFCBank_Cares trying to get an update on money deduction since last 2 weeks, hdfc is not replying. Its looking li… https://t.co/mFtNKEMcrC",Puri,Puri,2020-06-29,['Daily Services'],negative
1.28e+18,@palkisu PM Oli has list his ground after pocketing all Aid came for COVID-19 Test &amp; Treatment and diverted all att… https://t.co/cdKnpp7Ckz,Noida,Gautam Buddha Nagar,2020-06-29,,positive
1.28e+18,If any student or their family members get infected of covid-19 then who will take the responsibility of this......… https://t.co/1umgR407Qf,Kanpur,Kanpur Nagar,2020-06-29,['Others'],negative
1.28e+18,"If any one student get infected of covid-19 then many students can get infected from this virus ...
 @AKTU_Lucknow… https://t.co/BkNNmHpLC7",Kanpur,Kanpur Nagar,2020-06-29,['Others'],negative
1.28e+18,#Breaking: Bangladesh Defence Secretary Abdullah Al Mohsin Chowdhury dies of Covid-19. He suffered a cardiac arrest… https://t.co/jcTPhBUzcK,Kolkata,Kolkata,2020-06-29,,neutral
1.28e+18,@anujg This is a example to other ministries. Fortunately or unfortunately but lockdown period was the best period… https://t.co/jHaBQZ0AmD,Faridabad,Faridabad,2020-06-29,,positive
1.28e+18,"Amid the pandemic ,Tamil Nadu man pushes and kicks the police personnel at the toll gates. 
More reports awaited.… https://t.co/8I1OaxNA6G",Tamil Nadu,Agra,2020-06-29,['Others'],negative
1.28e+18,"Perfect example of ""Work from home"" during lockdown. https://t.co/nNefg3Nqt0",Raipur,Raipur,2020-06-29,,positive
1.28e+18,2 more COVID deaths from Ganjam dist. Total deaths 23 in State. Total deaths in the country 16475. https://t.co/yw46vgRA7V,Bhubaneshwar,Khordha,2020-06-29,['Transpotation'],negative
1.28e+18,"""Born To Foreigner, Can't Be Patriot"": @SadhviPragya_MP Targets @RahulGandhi @INCIndia @INCMP
@rohanrgupta… https://t.co/9J3f4Iuw8B",Bhopal,Bhopal,2020-06-29,,neutral
1.28e+18,"#BoycottNetflix Is going Viral, Seriously😒😒!
#Netflix seems to be my only hobby in this lockdown.
Bhakts may only s… https://t.co/NBDs8ufIBy",New Delhi,New Delhi,2020-06-29,['Transpotation'],negative
1.28e+18,"@BSNLCorporate    BSNL VANAKKAM ! ,   I AM DSA &amp; BOOKING BB LLBB FTTH BOOKING CHENNAI TELEPHONE AREA. MY  COMMISSIO… https://t.co/cp50bN3mOn",Tamil Nadu,Agra,2020-06-29,,neutral
1.28e+18,@globaltimesnews This is the gift given by covid China to all of you.....praise to god you are alive...,New Delhi,New Delhi,2020-06-29,,positive
1.28e+18,"@sbigeneral  Hello Sir/Mam, Currently i m long distance with my Sbi General Home Branch during Lockdown. My ( IMD P… https://t.co/8DpejcNRil",Bhubaneshwar,Khordha,2020-06-29,,neutral
1.28e+18,"Oh C’mon @YouTubeIndia pls bring back all the video resolutions ! Now that the lockdown in India is kinda over, pls… https://t.co/rHwBTsraqV",Kolkata,Kolkata,2020-06-29,['Transpotation'],negative
1.28e+18,"In a democracy, the opposition has the right to take on the Government. In this case, it's the daily rise in fuel p… https://t.co/eHzDnO5Fvo",Bengaluru,Nashik,2020-06-29,,neutral
1.28e+18,"If you don't respect @BDUTT for the kind of journalism she has done during the #Lockdown days, there is seriously s… https://t.co/4XTTf26Lxo",Indore,Indore,2020-06-29,['Economic'],negative
1.28e+18,"A total of 44 Assam police personnel on June 28 tested positive for #COVID19, tweeted GP Singh, ADGP (Law and Order… https://t.co/y14wQSFaZd",Guwahati,Firozpur,2020-06-29,,neutral
1.28e+18,"Odisha reports 245 new Covid positive cases, Tally at 6,859.
4,619 tests, Cumulative tests: 2,60,428.… https://t.co/bbjvOObF88",Cuttack,Cuttack,2020-06-29,,neutral
1.28e+18,Doctors in Mumbai have now found out that #COVID19 causes your blood sugar levels to rise. For all those who suffer… https://t.co/dA13uTkyha,Mumbai,Mumbai ,2020-06-29,['Transpotation'],negative
1.28e+18,"#Guwahati city reported 195 new COVID-19 positive cases in the last 24 hours.

#Assam #COVID19 

 https://t.co/DVjEzOby9K",Guwahati,Kamrup Metropolitan,2020-06-29,,neutral
1.28e+18,10. An infrastructure capable of withstanding an 18-MW load and comprising 22 km of underground cables and 20 trans… https://t.co/zwDwyUIAin,Chennai,Chennai ,2020-06-29,,neutral
1.28e+18,"@TelanganaCMO @Eatala_Rajender With reports in media about another lockdown, all shops have heavy rush this morning… https://t.co/jAcRrfKL0P",Rajendra Nagar,Patna,2020-06-29,['Economic'],negative
1.28e+18,@CMOfficeUP @myogiadityanath We need to avoid plastic use but in corona time only plastic is the material which can… https://t.co/3scqvSnkp7,Ghaziabad,Ghaziabad,2020-06-29,['Others'],negative
1.28e+18,"6. Over 57 ambulances and 50 e-rickshaws have been deployed at the COVID centre
7. Each patient will be given a sep… https://t.co/tg5hdvklC3",Chennai,Chennai ,2020-06-29,,neutral
1.28e+18,"@TelanganaDGP Sir i am  attaching my complaint against @TelanganaCMO KCR,  due to covid-19 i could not give complai… https://t.co/6z2isFLojJ",Hyderabad,Hyderabad,2020-06-29,['Economic'],negative
1.28e+18,"4. More than 1,000 doctors of the ITBP and other CAPFs have been tasked to look after the facility Over 2,000 param… https://t.co/09ZJhH8yJE",Chennai,Chennai ,2020-06-29,,neutral
1.28e+18,Water Bills# water bills for April/May 2020 onwards are not received due to lockdown. Request MC to issue note that… https://t.co/oV5yg0GpNB,Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,In covid pandemic situation we are advice to not start the exam for all university because of we are not ready for… https://t.co/TAcCBGqIvE,Surat,Surat,2020-06-29,['Others'],negative
1.28e+18,@MumbaiPolice @OfficeofUT just wondering what’s the Logic of 2 KM rule? And how do you plan to implement it. You ju… https://t.co/9JrSXbvjuc,Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,@tarun_gogoi Your views are still as shitty as earlier. Most of the cases in Assam is in quarantine centres. N when… https://t.co/83HS7GdM81,Dibrugarh,Dibrugarh,2020-06-29,['Transpotation'],negative
1.28e+18,"Name - Mohit Kabir Saxena
Disability - Autism (ASD)
Organisation -ASTHA India
Mohit made all these in this lockdown… https://t.co/ePYzQEqvNJ",New Delhi,New Delhi,2020-06-29,['Transpotation'],negative
1.28e+18,"India unlocking key sectors that remained in lockdown for decades: PM Modi in 'Mann ki Baat'
https://t.co/xd0RlLJh7g https://t.co/Jt6xspRtbE",Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,India unlocking key sectors that remained in lockdown for decades: PM Modi in 'Mann ki Baat'… https://t.co/rrg5tJ8hJ5,Bengaluru South,Bangalore ,2020-06-29,,neutral
1.28e+18,@JhaSanjay Straight from COVID hospital to Twitter hospital...shameless creatures,Haveli,Pune ,2020-06-29,['Daily Services'],negative
1.28e+18,"Not just that, @rejitweets even promised a free flight ticket, thanks to his network of wellwishers. But then, ther… https://t.co/JgV6ONr1Gz",Bengaluru South,Bangalore ,2020-06-29,,positive
1.28e+18,"Recovered Covid-19 patients exceed active cases by over 1 lakh: Health Ministry
https://t.co/8Pqr2qIsoi via NaMo App https://t.co/VM4fmA9RLO",Bengaluru South,Bangalore ,2020-06-29,,neutral
1.28e+18,"After COVID Pandemic ends., Do we use  #Sanitizer as effective as now ??

#COVID19India #COVID19 #PANDAMIC… https://t.co/ciHLtvCk53",Hyderabad,Hyderabad,2020-06-29,,positive
1.28e+18,India's science talent is second to none. Corona has helped to unleash that potential. IIT Delhi has developed a ho… https://t.co/5JyZy497ZT,Bengaluru,Bangalore ,2020-06-29,,positive
1.28e+18,More chaos no social distancing traffic jams people crowding now this is how you spreading covid @CPMumbaiPolice… https://t.co/NdIcwMbkqr,Mumbai,Mumbai ,2020-06-29,['Economic'],negative
1.28e+18,"@TheHyphenMan @VSReddy_MP Brother only to eradicate this COVID
it's a must for tests.. other wise eradication of this Virus is not possible.",Rajendra Nagar,Patna,2020-06-29,['Daily Services'],negative
1.28e+18,Puducherry  chief minister V Narayanasamy tests negative for COVID-19. @NewIndianXpress @xpresstn,Pondicherry,Puducherry ,2020-06-29,,neutral
1.28e+18,@sunnewstamil Shd lockdown needs to be extended in #TamilNaduCoronaupdate #TamilnaduLockDownExtension ??,Coimbatore,Coimbatore ,2020-06-29,,neutral
1.28e+18,@CMofKarnataka @BSYBJP This is not the time to conduct exams and I think Karnataka should be under lockdown for a m… https://t.co/A1dsFuMxLd,Belgaum,Belgaum ,2020-06-29,['Others'],negative
1.28e+18,@iamsurya939 @IPR_Odisha Everybody will suffer from this disease. Covid-19 is like a Spanish Flu. So prepared for fa ce the challenge.,Debagarh,Debagarh,2020-06-29,['Others'],negative
1.28e+18,"Due to COVID-19 many indian youngsters including me lost their jobs,i request @narendramodi ,@rajnathsingh ,… https://t.co/sZ7Eagtci7",Hingana,Bhandara ,2020-06-29,['Daily Services'],negative
1.28e+18,Thank you khushbumamania make my lockdown Birthday awesome @ Mulund West https://t.co/MrsHS1jvQg,Mumbai,Mumbai ,2020-06-29,,positive
1.28e+18,“Planning for the post-lockdown phase should have been better &amp; containment measures executed more effectively.… https://t.co/3NwgloXiIY,Anekal Bangaluru,Bangalore ,2020-06-29,,positive
1.28e+18,@GhtyTrafficPol @gpsinghassam @DCKamrupMetro @KrSanjayKrishna Milk is under exempted category of lockdown. Can we k… https://t.co/WwKnrer3rJ,Guwahati,Kamrup Metropolitan,2020-06-29,,neutral
1.28e+18,"""When Deaths per million (DPM) starts coming down consistently over 10 days, we can be confident of a turnaround. A… https://t.co/UGIhSwv0Fd",Anekal Bangaluru,Bangalore ,2020-06-29,['Daily Services'],negative
1.28e+18,Why China is not yet taken to task by international democratic institutions for spreading covid 19 beyond Chinese b… https://t.co/ITFw1Q7CtW,Kolkata,Kolkata,2020-06-29,['Economic'],negative
1.28e+18,#Punjab #coronavirus 55 year old male is 12th victim of  #COVID19  in #Malerkotla subdivision of #Sangrur district… https://t.co/6qYOzLMTe7,Ludhiana,Ludhiana,2020-06-29,['Food Shortage'],negative
1.28e+18,@SetuAarogya I was tested positive 2 weeks ago. Have recovered and have been tested negative too however my Aarogra… https://t.co/IzSKxGWlnW,Gurgaon,Gurugram,2020-06-29,['Economic'],negative
1.28e+18,@CMofKarnataka  @DHFWKA @MoHFW_INDIA  if there  are 10000 beds as claimed by the ministers in charge of covid why r… https://t.co/92DDSEMzFv,Bengaluru,Bangalore ,2020-06-29,,neutral
1.28e+18,"When you have none to shoot during the lockdown try it on yourself 
.
.
.

Shot with 
sonyalphain A7RM4 + zeisscame… https://t.co/8Ym5dCZo4U",Bengaluru,Bangalore ,2020-06-29,['Economic'],negative
1.28e+18,"The one thing which has safeguarded us throughout the lockdown, has been our home sweet home.
Since new beginnings… https://t.co/CCXKgTZ1Hx",Navi Mumbai,Thane,2020-06-29,,positive
1.28e+18,Need to know the rule clearly because doctors force the covid patient family members to come &amp; help them i know its… https://t.co/w5XgQCdwFO,Mumbai,Mumbai ,2020-06-29,,neutral
1.28e+18,No offence just the thought if the corona patient is admit in the hospital then why doctors ask for relatives to he… https://t.co/iNpq5KDDoX,Mumbai,Mumbai ,2020-06-29,['Transpotation'],negative
1.28e+18,Horrible situation in Telangana. State govt had completely failed in controlling the covid 19.… https://t.co/bFop1WaZEV,Medchal,Medchal–Malkajgiri,2020-06-29,['Others'],negative
1.28e+18,Urgently Required #ventilators For #BhiwandiCity. Number Of Covid-19 Patients Are Horrible Day By Day. And We Have… https://t.co/9xovHM2jka,Bhiwandi,Thane,2020-06-29,['Economic'],negative
1.28e+18,What's happening?? It shows that the Covid-19 pandemic management is not on proper rails .. Very unfortunate .. https://t.co/3r6fcBfCVo,Kakinada,East Godavari,2020-06-29,['Others'],negative
1.28e+18,"Atleast one sector has taken the lockdown seriously!!

Not two years, 200 projects finished during lockdown: Railwa… https://t.co/2i4QSxyVAn",Thane,Thane,2020-06-29,['Economic'],negative
1.28e+18,"@ShatruganSinha ""Pinch of salt&amp;/or a sense of humour"" for some Gurudev but u will b flabbergasted 2hear that we d P… https://t.co/Uas0gjQKGs",Panvel,Raigad,2020-06-29,,positive
1.28e+18,"@spsangli Congratulations!
The Sangli Police has done a great job by maintaining law and order and made sure the lo… https://t.co/BwbkTXFjc6",Sangli-Miraj Kupwad,Sangli ,2020-06-29,,positive
1.28e+18,@globaltimesnews Now the results are coming of what's the covid China done for whole world......God see everything,New Delhi,New Delhi,2020-06-29,,positive
1.28e+18,"@Airtel_Presence @airtelindia   They are risking our life by sending different people from time of installation..
4… https://t.co/bZ5rL9HHVD",Haveli,Pune ,2020-06-29,['Others'],negative
1.28e+18,"First Meeting After Lockdown - Team associated on Zoom App too... 
New Team Development  - New projects
#meeting… https://t.co/feXmZUG0ML",New Delhi,New Delhi,2020-06-29,,neutral
1.28e+18,"If #JEE and #NEET is conducted in July then what about those #students are #COVID positive,those students who are i… https://t.co/DeOLqEeMYv",Jodhpur,Jodhpur ,2020-06-29,,positive
1.28e+18,"@Gopal_Italia We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel #GTU #exam2020… https://t.co/smJuZzSFSO",Bhavnagar,Bhavnagar ,2020-06-29,['Food Shortage'],negative
1.28e+18,"@priyankac19 First say ur best CM to control covid as he is failed and next thing in Maharshtra 
Petrol and diesel… https://t.co/cKKR6MhYTA",Navsari,Sari ,2020-06-29,['Food Shortage'],negative
1.28e+18,"@AmitChavdaINC We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel #GTU #exam2020… https://t.co/hNnr2o0BCA",Bhavnagar,Bhavnagar ,2020-06-29,['Food Shortage'],negative
1.28e+18,Waking up to see this intense eyes n my fav hashtag #covidkitohmain ab hua suru so ka din.. #thisisforucovid go awa… https://t.co/u7zBIMmnhK,Bardhaman,Purba Bardhaman,2020-06-29,['Transpotation'],negative
1.28e+18,"@IRONMAN703Goa with today’s race cancellation, you should offer a full refund to anyone who doesn’t want to defer t… https://t.co/gCcyk9soBR",Mumbai,Mumbai ,2020-06-29,['Daily Services'],negative
1.28e+18,"@Neerajkundan @NSUIGujarat We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel #GTU… https://t.co/YqsiUqWTyk",Bhavnagar,Bhavnagar ,2020-06-29,['Food Shortage'],negative
1.28e+18,"@nsui @RahulGandhi @kcvenugopalmp We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel… https://t.co/1YHicyRXr5",Bhavnagar,Bhavnagar ,2020-06-29,,neutral
1.28e+18,"Tragic 

News18: 'Can't Breathe Anymore': Hyderabad Man's Chilling Message to Father Before He Died of Covid-19.… https://t.co/BbFPQ7rbjd",Rajendra Nagar,Patna,2020-06-29,['Daily Services'],negative
1.28e+18,"Italy? Please no.
They have already suffered enough from Covid virus. They cannot bear any additional virus!! https://t.co/NPrFyozrDf",New Delhi,New Delhi,2020-06-29,['Daily Services'],negative
1.28e+18,"@CMOMaharashtra @PuneCityPolice @DGPMaharashtra This needs to be checked because in the times of #Covid_19, it is a… https://t.co/QyVJIjuWC9",Jagadishpur Industrial Area,Anugul,2020-06-29,,neutral
1.28e+18,@CMOTamilNadu @Vijayabaskarofl No more general lockdowns pls. Build hospital infrastructure to manage #Covid19 case… https://t.co/KYMlK5n1TE,Coimbatore,Coimbatore ,2020-06-29,['Daily Services'],negative
1.28e+18,"@AmitChavdaINC We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel #GTU #exam2020… https://t.co/KXff0kforj",Bhavnagar,Bhavnagar ,2020-06-29,['Food Shortage'],negative
1.28e+18,"We are treated as of we are scapegoat 
For COVID-19 testing in Gujarat 
Cancel #GTU #exam2020… https://t.co/aTVN0oCSH4",Bhavnagar,Bhavnagar ,2020-06-29,['Food Shortage'],negative
1.28e+18,TN CM EPS holds discussions with health experts committee to take a decision on whether  lockdown should be extende… https://t.co/IIGjFQAbf8,Perambur Purasavakam,Chennai ,2020-06-29,,positive
1.28e+18,Telangana Home Minister Md. Ali tested positive for Covid-19 !!,Bengaluru South,Bangalore ,2020-06-29,,positive
1.28e+18,@ICMRDELHI What is the progress of research if any for iventing medine for covid-19 in our country.,Sholinganallur,Sholinganallur,2020-06-29,,neutral
1.28e+18,Salute to this covid warrior🙏🙏🙏🙏 https://t.co/AWrxqKAbcQ,Kolkata,Kolkata,2020-06-29,,positive
1.28e+18,@MorningBrew Covid is Airborne !,Kolkata,Kolkata,2020-06-29,['Others'],negative
1.28e+18,"Countries in the West during Covid

• Direct Cash Transfer 
• Direct support to MSMEs
• Reduced taxes. 

India duri… https://t.co/yapIakWHUK",Raipur,Raipur,2020-06-29,,neutral
1.28e+18,"Here is a list of all petrol pumps which will function throughout the 14-day #lockdown in #Guwahati.

#Assam… https://t.co/8249fmkIMb",Guwahati,Kamrup Metropolitan,2020-06-29,,neutral
1.28e+18,"Traffic congestion in mumbai
New Lockdown in mumbai... #westernexpresshighway
#Mumbaitraffic
 #newnormal… https://t.co/dY8VwFDIEO",Mumbai,Mumbai ,2020-06-29,['Food Shortage'],negative
